alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul,cpp,perlmutter-cpu,1,4,64,50000,50000,50000,50000,2,2,1,0.539071,-1.0,-1.0,4.601546,78.1099,0.0,1.937576,2025-08-10T10:39:25
matmul1comm,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,-1.0,0.164945,0.182932,0.451237,0.0,0.0,2026-02-13T07:36:32
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.03717,0.755936,15.600492,0.0,0.0,2026-02-13T07:22:29
matmul1gen,cpp,perlmutter-gpu,2,8,32,50000,50000,50000,5000,8,1,1,0.0,-1.0,0.078934,0.0,0.771334,0.0,0.0,2025-10-05T12:27:41
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,-1.0,0.147109,0.0,0.425725,0.0,0.0,2026-02-13T07:34:59
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.739275,0.0,2.274043,0.0,0.0,2026-02-13T07:32:03
matmul1comm,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,500,8,1,1,0.0,-1.0,0.025103,0.119223,0.869081,0.0,0.0,2026-02-14T20:56:55
matmul1gen,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.299934,0.0,0.620526,0.0,0.0,2025-10-05T12:26:58
matmul1gen,cpp,perlmutter-gpu-cpu,256,1024,32,1000000,1000000,1000000,1000,1024,1,1,0.0,-1.0,0.734274,0.0,5.354762,0.0,0.0,2026-02-06T19:00:02
matmul1comm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,64,1,1,0.0,-1.0,0.02053,0.782633,1.12179,0.0,0.0,2026-02-14T20:45:45
matmul1gen,cpp,perlmutter-gpu-cpu,64,256,32,1000000,1000000,1000000,1000,256,1,1,0.0,-1.0,0.740897,0.0,26.921891,0.0,0.0,2026-02-14T21:01:37
matmul1gen,cpp,perlmutter-gpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2026-02-13T09:20:41
matmul1comm,cpp,perlmutter-cpu,4,32,32,50000,50000,50000,5000,32,1,1,0.0,-1.0,0.010325,2.46169,2.244075,0.0,0.0,2025-06-25T14:11:44
matmul1gen,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.251593,0.0,0.605413,0.0,0.0,2026-02-14T20:45:00
matmul1gen,cpp,perlmutter-cpu,32,128,64,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.464012,0.0,0.506036,0.0,0.0,2025-08-10T20:41:02
matmul1gen,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.230328,0.0,4.199609,0.0,0.0,2026-02-14T20:46:51
matmul,cpp,perlmutter-cpu,4,16,64,50000,50000,50000,50000,4,2,2,0.550537,-1.0,-1.0,5.459255,20.374678,0.0,0.830012,2025-08-10T10:41:22
matmul1gen,cpp,perlmutter-cpu,1,8,32,50000,50000,50000,5000,8,1,1,0.0,-1.0,0.468715,0.0,8.098512,0.0,0.0,2025-06-25T14:04:33
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,-1.0,0.05837,0.0,0.43307,0.0,0.0,2026-02-13T07:34:14
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.660683,0.0,2.342982,0.0,0.0,2026-02-13T07:31:28
matmul1gen,cpp,perlmutter-gpu-cpu,64,256,32,1000000,1000000,1000000,1000,256,1,1,0.0,-1.0,0.675642,0.0,26.789683,0.0,0.0,2026-02-14T20:58:22
matmul1gen,cpp,perlmutter-gpu-cpu,256,1024,32,1000000,1000000,1000000,1000,1024,1,1,0.0,-1.0,0.647236,0.0,5.389405,0.0,0.0,2026-02-14T21:04:11
matmul1comm,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,500,32,1,1,0.0,-1.0,0.020589,0.186681,0.259456,0.0,0.0,2026-02-14T20:50:07
matmul1gen,python,perlmutter-cpu,2,256,2,50000,50000,50000,5000,256,1,1,0.0,-1.0,2.0246451959999376,0.0,5.672031373999971,0.0,0.0,2025-06-18T05:29:55
matmul,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,500,4,4,1,0.16444,0.128782,0.02751,0.020374,0.440698,0.0,0.026513,2026-06-04T09:23:50
matmul,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,5000,8,4,1,0.082395,0.064782,0.023879,0.102585,2.066151,0.0,0.06712,2026-06-04T09:27:04
matmul1gen,cpp,perlmutter-gpu-cpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,-1.0,0.64657,0.0,3.254562,0.0,0.0,2026-02-16T00:55:20
